# {'li': -1, 'lf': -1, 'xc': 2e-08, 'yc': 2e-08}
# omega	gamma
3.000000000000000000e+15 1.666206798538102940e-01
3.016666666666666500e+15 1.707468407389107212e-01
3.033333333333333500e+15 1.750239061210991098e-01
3.050000000000000000e+15 1.794595256079539736e-01
3.066666666666666500e+15 1.840618444499897977e-01
3.083333333333333500e+15 1.888395429909493217e-01
3.100000000000000000e+15 1.938018798639221107e-01
3.116666666666666500e+15 1.989587393485868216e-01
3.133333333333333500e+15 2.043206833578046222e-01
3.150000000000000000e+15 2.098990085822658447e-01
3.166666666666666500e+15 2.157058093912807561e-01
3.183333333333333000e+15 2.217540471675146785e-01
3.200000000000000000e+15 2.280576268451480204e-01
3.216666666666666500e+15 2.346314815268137344e-01
3.233333333333333000e+15 2.414916661768837236e-01
3.250000000000000000e+15 2.486554615304202021e-01
3.266666666666666500e+15 2.561414895215154974e-01
3.283333333333333000e+15 2.639698417262554830e-01
3.300000000000000000e+15 2.721622225387348992e-01
3.316666666666666500e+15 2.807421090597863045e-01
3.333333333333333000e+15 2.897349299840996650e-01
3.349999999999999500e+15 2.991682661313630476e-01
3.366666666666666500e+15 3.090720756910433908e-01
3.383333333333333000e+15 3.194789477517058218e-01
3.399999999999999500e+15 3.304243882797672227e-01
3.416666666666666500e+15 3.419471434186996950e-01
3.433333333333333000e+15 3.540895658215538200e-01
3.449999999999999500e+15 3.668980307365514171e-01
3.466666666666667000e+15 3.804234097734048303e-01
3.483333333333333500e+15 3.947216117321378226e-01
3.500000000000000000e+15 4.098542016323920012e-01
3.516666666666667000e+15 4.258891112096209186e-01
3.533333333333333500e+15 4.429014567334120800e-01
3.550000000000000000e+15 4.609744831634877693e-01
3.566666666666667000e+15 4.802006575310790448e-01
3.583333333333333500e+15 5.006829391961904463e-01
3.600000000000000000e+15 5.225362605121344206e-01
3.616666666666667000e+15 5.458892587191503942e-01
3.633333333333333500e+15 5.708863089627064236e-01
3.650000000000000000e+15 5.976899196719736018e-01
3.666666666666667000e+15 6.264835657624379106e-01
3.683333333333333500e+15 6.574750530529287484e-01
3.700000000000000000e+15 6.909005299612699380e-01
3.716666666666667000e+15 7.270292913328773032e-01
3.733333333333333500e+15 7.661695559456755955e-01
3.750000000000000000e+15 8.086754461457157372e-01
3.766666666666667000e+15 8.549554582198941599e-01
3.783333333333333500e+15 9.054827894113941511e-01
3.800000000000000000e+15 9.608079869352914582e-01
3.816666666666666500e+15 1.021574512275855717e+00
3.833333333333333000e+15 1.088537978211096657e+00
3.850000000000000000e+15 1.162590025532735494e+00
3.866666666666666500e+15 1.244788071094524273e+00
3.883333333333333000e+15 1.336392487100789950e+00
3.900000000000000000e+15 1.438913165888431545e+00
3.916666666666666500e+15 1.554167870986215227e+00
3.933333333333333000e+15 1.684355222257175599e+00
3.950000000000000000e+15 1.832145477300370029e+00
3.966666666666666500e+15 2.000792151752780690e+00
3.983333333333333000e+15 2.194266329484182432e+00
4.000000000000000000e+15 2.417411953360500743e+00
4.016666666666666500e+15 2.676111912319194097e+00
4.033333333333333000e+15 2.977436531178529133e+00
4.050000000000000500e+15 3.329709453414543496e+00
4.066666666666667000e+15 3.742356566767379711e+00
4.083333333333333500e+15 4.225281804749501546e+00
4.100000000000000500e+15 4.787324305140232106e+00
4.116666666666667000e+15 5.433125488649599433e+00
4.133333333333333500e+15 6.157661541463863131e+00
4.150000000000000500e+15 6.938324405797388295e+00
4.166666666666667000e+15 7.726729346509393359e+00
4.183333333333333500e+15 8.446787308368691072e+00
4.200000000000000500e+15 9.008769305250670101e+00
4.216666666666667000e+15 9.342577971821075522e+00
4.233333333333333500e+15 9.434141514054322997e+00
4.250000000000000500e+15 9.336589158686198431e+00
4.266666666666667000e+15 9.146400505099505196e+00
4.283333333333333500e+15 8.965694723346256723e+00
4.300000000000000500e+15 8.876788194249250807e+00
4.316666666666666500e+15 8.936215582081297626e+00
4.333333333333333500e+15 9.180462837677058729e+00
4.350000000000000500e+15 9.634100755864210441e+00
4.366666666666666500e+15 1.031510344397497470e+01
4.383333333333333500e+15 1.123521902702556829e+01
4.400000000000000000e+15 1.239413672876961137e+01
4.416666666666666500e+15 1.376620339574596663e+01
4.433333333333333500e+15 1.527978968763653000e+01
4.450000000000000000e+15 1.679499879679206487e+01
4.466666666666666500e+15 1.809667048877310336e+01
4.483333333333333500e+15 1.892877527588852260e+01
4.500000000000000000e+15 1.908097811314973313e+01
4.516666666666667000e+15 1.848752935686356125e+01
4.533333333333334000e+15 1.726200203745045059e+01
4.550000000000000000e+15 1.563620867568045192e+01
4.566666666666667000e+15 1.385677134205786487e+01
4.583333333333334000e+15 1.211198090922348847e+01
4.600000000000000000e+15 1.051208020994099179e+01
4.616666666666667000e+15 9.103591065512688374e+00
4.633333333333334000e+15 7.892781658581172977e+00
4.650000000000000000e+15 6.865158206358670689e+00
4.666666666666667000e+15 5.997970347818257331e+00
4.683333333333334000e+15 5.267025189933261409e+00
4.700000000000000000e+15 4.649879591042054727e+00
4.716666666666667000e+15 4.127026084362157121e+00
4.733333333333334000e+15 3.682081311634842535e+00
4.750000000000000000e+15 3.301536855518955260e+00
4.766666666666667000e+15 2.974358271521744257e+00
4.783333333333334000e+15 2.691566697870400482e+00
4.800000000000000000e+15 2.445859162811935050e+00
4.816666666666667000e+15 2.231285582090786423e+00
4.833333333333334000e+15 2.042983169939134314e+00
4.850000000000000000e+15 1.876962086080393277e+00
4.866666666666667000e+15 1.729934146841612952e+00
4.883333333333334000e+15 1.599176591982855555e+00
4.900000000000000000e+15 1.482423885066672886e+00
4.916666666666667000e+15 1.377781715427332632e+00
4.933333333333333000e+15 1.283658499384126905e+00
4.950000000000000000e+15 1.198710651935510407e+00
4.966666666666667000e+15 1.121798699485204942e+00
4.983333333333334000e+15 1.051951942890776648e+00
5.000000000000000000e+15 9.883398826935270165e-01
5.016666666666667000e+15 9.302490103667901966e-01
5.033333333333334000e+15 8.770638737650582328e-01
5.050000000000000000e+15 8.282515608418029585e-01
5.066666666666667000e+15 7.833489285485335518e-01
5.083333333333333000e+15 7.419520457506728617e-01
5.100000000000000000e+15 7.037074294048251133e-01
5.116666666666667000e+15 6.683047393804415481e-01
5.133333333333334000e+15 6.354706647330915503e-01
5.150000000000000000e+15 6.049637872006166095e-01
5.166666666666667000e+15 5.765702494551040447e-01
5.183333333333333000e+15 5.501000886995838224e-01
5.200000000000000000e+15 5.253841224659085984e-01
5.216666666666667000e+15 5.022712944262989199e-01
5.233333333333334000e+15 4.806264048147218526e-01
5.250000000000000000e+15 4.603281635489676615e-01
5.266666666666667000e+15 4.412675150362786458e-01
5.283333333333333000e+15 4.233461924695648415e-01
5.300000000000000000e+15 4.064754665970824465e-01
5.316666666666667000e+15 3.905750598046646149e-01
5.333333333333334000e+15 3.755722011460323473e-01
5.350000000000000000e+15 3.614008018987723836e-01
5.366666666666667000e+15 3.480007344741656850e-01
5.383333333333333000e+15 3.353172001985573192e-01
5.400000000000000000e+15 3.233001737161444455e-01
5.416666666666667000e+15 3.119039136216265606e-01
5.433333333333333000e+15 3.010865304831619738e-01
5.450000000000000000e+15 2.908096047161197184e-01
5.466666666666666000e+15 2.810378478600709107e-01
5.483333333333333000e+15 2.717388017311999637e-01
5.500000000000000000e+15 2.628825706992871658e-01
